exp_name,num_exp,min_MAE,min_MSE,max_R2,max_LCC,max_SRCC,max_KTAU,min_GMAE
clss_none_yelp_review_lb250,3,0.721±0.010,0.913±0.022,0.543±0.011,0.744±0.001,0.748±0.002,0.599±0.002,0.307±0.026
fullysupervised_none_yelp_review,3,0.418±0.003,0.402±0.004,0.799±0.002,0.898±0.001,0.896±0.001,0.766±0.001,0.150±0.005
meanteacher_none_yelp_review_lb250,3,0.730±0.024,0.870±0.037,0.565±0.019,0.763±0.011,0.769±0.009,0.619±0.009,0.420±0.018
mixmatch_none_yelp_review_lb250,3,0.886±0.004,1.238±0.017,0.381±0.008,0.643±0.003,0.660±0.004,0.511±0.003,0.587±0.003
pimodel_none_yelp_review_lb250,3,0.730±0.024,0.870±0.037,0.565±0.019,0.763±0.011,0.769±0.009,0.619±0.009,0.420±0.018
rda_fixmatch_yelp_review_lb250,3,0.632±0.009,0.698±0.015,0.651±0.007,0.809±0.005,0.810±0.005,0.659±0.005,0.389±0.011
supervised_fixmatch_yelp_review_lb250,3,0.661±0.018,0.711±0.025,0.645±0.013,0.817±0.003,0.829±0.002,0.681±0.002,0.391±0.013
supervised_none_yelp_review_lb250,3,0.723±0.023,0.868±0.038,0.566±0.019,0.762±0.012,0.769±0.010,0.619±0.009,0.392±0.015
ucvme_none_yelp_review_lb250,3,0.775±0.006,0.921±0.011,0.540±0.005,0.754±0.007,0.763±0.005,0.611±0.005,0.526±0.007
